ID Utilisateur,Genre,Age,Salaire,Achat
15577178,Femme,22,63000,0
15595324,Femme,31,68000,0
15756932,Homme,25,80000,0
15726358,Femme,24,27000,0
15595228,Femme,20,23000,0
15782530,Femme,33,113000,0
15592877,Homme,32,18000,0
15651983,Homme,34,112000,1
15746737,Homme,18,52000,0
15774179,Femme,22,27000,0
15667265,Femme,28,87000,0
15655123,Femme,26,17000,0
15595917,Homme,30,80000,0
15668385,Homme,39,42000,0
15709476,Homme,20,49000,0
15711218,Homme,35,88000,0
15798659,Femme,30,62000,0
15663939,Femme,31,118000,1
15694946,Homme,24,55000,0
15631912,Femme,28,85000,0
15768816,Homme,26,81000,0
15682268,Homme,35,50000,0
15684801,Homme,22,81000,0
15636428,Femme,30,116000,0
15809823,Homme,26,15000,0
15699284,Femme,29,28000,0
15786993,Femme,29,83000,0
15709441,Femme,35,44000,0
15710257,Femme,35,25000,0
15582492,Homme,28,123000,1
15575694,Homme,35,73000,0
15756820,Femme,28,37000,0
15766289,Homme,27,88000,0
15593014,Homme,28,59000,0
15584545,Femme,32,86000,0
15675949,Femme,33,149000,1
15672091,Femme,19,21000,0
15801658,Homme,21,72000,0
15706185,Femme,26,35000,0
15789863,Homme,27,89000,0
15720943,Homme,26,86000,0
15697997,Femme,38,80000,0
15665416,Femme,39,71000,0
15660200,Femme,37,71000,0
15619653,Homme,38,61000,0
15773447,Homme,37,55000,0
15739160,Homme,42,80000,0
15689237,Homme,40,57000,0
15679297,Homme,35,75000,0
15591433,Homme,36,52000,0
15642725,Homme,40,59000,0
15701962,Homme,41,59000,0
15811613,Femme,36,75000,0
15741049,Homme,37,72000,0
15724423,Femme,40,75000,0
15574305,Homme,35,53000,0
15678168,Femme,41,51000,0
15697020,Femme,39,61000,0
15610801,Homme,42,65000,0
15745232,Homme,26,32000,0
15722758,Homme,30,17000,0
15792102,Femme,26,84000,0
15675185,Homme,31,58000,0
15801247,Homme,33,31000,0
15725660,Homme,30,87000,0
15638963,Femme,21,68000,0
15800061,Femme,28,55000,0
15578006,Homme,23,63000,0
15668504,Femme,20,82000,0
15687491,Homme,30,107000,1
15610403,Femme,28,59000,0
15741094,Homme,19,25000,0
15807909,Homme,19,85000,0
15666141,Femme,18,68000,0
15617134,Homme,35,59000,0
15783029,Homme,30,89000,0
15622833,Femme,34,25000,0
15746422,Femme,24,89000,0
15750839,Femme,27,96000,1
15749130,Femme,41,30000,0
15779862,Homme,29,61000,0
15767871,Homme,20,74000,0
15679651,Femme,26,15000,0
15576219,Homme,41,45000,0
15699247,Homme,31,76000,0
15619087,Femme,36,50000,0
15605327,Homme,40,47000,0
15610140,Femme,31,15000,0
15791174,Homme,46,59000,0
15602373,Homme,29,75000,0
15762605,Homme,26,30000,0
15598840,Femme,32,135000,1
15744279,Homme,32,100000,1
15670619,Homme,25,90000,0
15599533,Femme,37,33000,0
15757837,Homme,35,38000,0
15697574,Femme,33,69000,0
15578738,Femme,18,86000,0
15762228,Femme,22,55000,0
15614827,Femme,35,71000,0
15789815,Homme,29,148000,1
15579781,Femme,29,47000,0
15587013,Homme,21,88000,0
15570932,Homme,34,115000,0
15794661,Femme,26,118000,0
15581654,Femme,34,43000,0
15644296,Femme,34,72000,0
15614420,Femme,23,28000,0
15609653,Femme,35,47000,0
15594577,Homme,25,22000,0
15584114,Homme,24,23000,0
15673367,Femme,31,34000,0
15685576,Homme,26,16000,0
15774727,Femme,31,71000,0
15694288,Femme,32,117000,1
15603319,Homme,33,43000,0
15759066,Femme,33,60000,0
15814816,Homme,31,66000,0
15724402,Femme,20,82000,0
15571059,Femme,33,41000,0
15674206,Homme,35,72000,0
15715160,Homme,28,32000,0
15730448,Homme,24,84000,0
15662067,Femme,19,26000,0
15779581,Homme,29,43000,0
15662901,Homme,19,70000,0
15689751,Homme,28,89000,0
15667742,Homme,34,43000,0
15738448,Femme,30,79000,0
15680243,Femme,20,36000,0
15745083,Homme,26,80000,0
15708228,Homme,35,22000,0
15628523,Homme,35,39000,0
15708196,Homme,49,74000,0
15735549,Femme,39,134000,1
15809347,Femme,41,71000,0
15660866,Femme,58,101000,1
15766609,Femme,47,47000,0
15654230,Femme,55,130000,1
15794566,Femme,52,114000,0
15800890,Femme,40,142000,1
15697424,Femme,46,22000,0
15724536,Femme,48,96000,1
15735878,Homme,52,150000,1
15707596,Femme,59,42000,0
15657163,Homme,35,58000,0
15622478,Homme,47,43000,0
15779529,Femme,60,108000,1
15636023,Homme,49,65000,0
15582066,Homme,40,78000,0
15666675,Femme,46,96000,0
15732987,Homme,59,143000,1
15789432,Femme,41,80000,0
15663161,Homme,35,91000,1
15694879,Homme,37,144000,1
15593715,Homme,60,102000,1
15575002,Femme,35,60000,0
15622171,Homme,37,53000,0
15795224,Femme,36,126000,1
15685346,Homme,56,133000,1
15691808,Femme,40,72000,0
15721007,Femme,42,80000,1
15794253,Femme,35,147000,1
15694453,Homme,39,42000,0
15813113,Homme,40,107000,1
15614187,Homme,49,86000,1
15619407,Femme,38,112000,0
15646227,Homme,46,79000,1
15660541,Homme,40,57000,0
15753874,Femme,37,80000,0
15617877,Femme,46,82000,0
15772073,Femme,53,143000,1
15701537,Homme,42,149000,1
15736228,Homme,38,59000,0
15780572,Femme,50,88000,1
15769596,Femme,56,104000,1
15586996,Femme,41,72000,0
15722061,Femme,51,146000,1
15638003,Femme,35,50000,0
15775590,Femme,57,122000,1
15730688,Homme,41,52000,0
15753102,Femme,35,97000,1
15810075,Femme,44,39000,0
15723373,Homme,37,52000,0
15795298,Femme,48,134000,1
15584320,Femme,37,146000,1
15724161,Femme,50,44000,0
15750056,Femme,52,90000,1
15609637,Femme,41,72000,0
15794493,Homme,40,57000,0
15569641,Femme,58,95000,1
15815236,Femme,45,131000,1
15811177,Femme,35,77000,0
15680587,Homme,36,144000,1
15672821,Femme,55,125000,1
15767681,Femme,35,72000,0
15600379,Homme,48,90000,1
15801336,Femme,42,108000,1
15721592,Homme,40,75000,0
15581282,Homme,37,74000,0
15746203,Femme,47,144000,1
15583137,Homme,40,61000,0
15680752,Femme,43,133000,0
15688172,Femme,59,76000,1
15791373,Homme,60,42000,1
15589449,Homme,39,106000,1
15692819,Femme,57,26000,1
15727467,Homme,57,74000,1
15734312,Homme,38,71000,0
15764604,Homme,49,88000,1
15613014,Femme,52,38000,1
15759684,Femme,50,36000,1
15609669,Femme,59,88000,1
15685536,Homme,35,61000,0
15750447,Homme,37,70000,1
15663249,Femme,52,21000,1
15638646,Homme,48,141000,0
15734161,Femme,37,93000,1
15631070,Femme,37,62000,0
15761950,Femme,48,138000,1
15649668,Homme,41,79000,0
15713912,Femme,37,78000,1
15586757,Homme,39,134000,1
15596522,Homme,49,89000,1
15625395,Homme,55,39000,1
15760570,Homme,37,77000,0
15566689,Femme,35,57000,0
15725794,Femme,36,63000,0
15673539,Homme,42,73000,1
15705298,Femme,43,112000,1
15675791,Homme,45,79000,0
15747043,Homme,46,117000,1
15736397,Femme,58,38000,1
15678201,Homme,48,74000,1
15720745,Femme,37,137000,1
15637593,Homme,37,79000,1
15598070,Femme,40,60000,0
15787550,Homme,42,54000,0
15603942,Femme,51,134000,0
15733973,Femme,47,113000,1
15596761,Homme,36,125000,1
15652400,Femme,38,50000,0
15717893,Femme,42,70000,0
15622585,Homme,39,96000,1
15733964,Femme,38,50000,0
15753861,Femme,49,141000,1
15747097,Femme,39,79000,0
15594762,Femme,39,75000,1
15667417,Femme,54,104000,1
15684861,Homme,35,55000,0
15742204,Homme,45,32000,1
15623502,Homme,36,60000,0
15774872,Femme,52,138000,1
15611191,Femme,53,82000,1
15674331,Homme,41,52000,0
15619465,Femme,48,30000,1
15575247,Femme,48,131000,1
15695679,Femme,41,60000,0
15713463,Homme,41,72000,0
15785170,Femme,42,75000,0
15796351,Homme,36,118000,1
15639576,Femme,47,107000,1
15693264,Homme,38,51000,0
15589715,Femme,48,119000,1
15769902,Homme,42,65000,0
15587177,Homme,40,65000,0
15814553,Homme,57,60000,1
15601550,Femme,36,54000,0
15664907,Homme,58,144000,1
15612465,Homme,35,79000,0
15810800,Femme,38,55000,0
15665760,Homme,39,122000,1
15588080,Femme,53,104000,1
15776844,Homme,35,75000,0
15717560,Femme,38,65000,0
15629739,Femme,47,51000,1
15729908,Homme,47,105000,1
15716781,Femme,41,63000,0
15646936,Homme,53,72000,1
15768151,Femme,54,108000,1
15579212,Homme,39,77000,0
15721835,Homme,38,61000,0
15800515,Femme,38,113000,1
15591279,Homme,37,75000,0
15587419,Femme,42,90000,1
15750335,Femme,37,57000,0
15699619,Homme,36,99000,1
15606472,Homme,60,34000,1
15778368,Homme,54,70000,1
15671387,Femme,41,72000,0
15573926,Homme,40,71000,1
15709183,Homme,42,54000,0
15577514,Homme,43,129000,1
15778830,Femme,53,34000,1
15768072,Femme,47,50000,1
15768293,Femme,42,79000,0
15654456,Homme,42,104000,1
15807525,Femme,59,29000,1
15574372,Femme,58,47000,1
15671249,Homme,46,88000,1
15779744,Homme,38,71000,0
15624755,Femme,54,26000,1
15611430,Femme,60,46000,1
15774744,Homme,60,83000,1
15629885,Femme,39,73000,0
15708791,Homme,59,130000,1
15793890,Femme,37,80000,0
15646091,Femme,46,32000,1
15596984,Femme,46,74000,0
15800215,Femme,42,53000,0
15577806,Homme,41,87000,1
15749381,Femme,58,23000,1
15683758,Homme,42,64000,0
15670615,Homme,48,33000,1
15715622,Femme,44,139000,1
15707634,Homme,49,28000,1
15806901,Femme,57,33000,1
15775335,Homme,56,60000,1
15724150,Femme,49,39000,1
15627220,Homme,39,71000,0
15672330,Homme,47,34000,1
15668521,Femme,48,35000,1
15807837,Homme,48,33000,1
15592570,Homme,47,23000,1
15748589,Femme,45,45000,1
15635893,Homme,60,42000,1
15757632,Femme,39,59000,0
15691863,Femme,46,41000,1
15706071,Homme,51,23000,1
15654296,Femme,50,20000,1
15755018,Homme,36,33000,0
15594041,Femme,49,36000,1
